system:index,B1_p0,B1_p10,B1_p100,B1_p20,B1_p30,B1_p40,B1_p50,B1_p60,B1_p70,B1_p80,B1_p90,B2_p0,B2_p10,B2_p100,B2_p20,B2_p30,B2_p40,B2_p50,B2_p60,B2_p70,B2_p80,B2_p90,B3_p0,B3_p10,B3_p100,B3_p20,B3_p30,B3_p40,B3_p50,B3_p60,B3_p70,B3_p80,B3_p90,B4_p0,B4_p10,B4_p100,B4_p20,B4_p30,B4_p40,B4_p50,B4_p60,B4_p70,B4_p80,B4_p90,B5_p0,B5_p10,B5_p100,B5_p20,B5_p30,B5_p40,B5_p50,B5_p60,B5_p70,B5_p80,B5_p90,B6_VCID_2_p0,B6_VCID_2_p10,B6_VCID_2_p100,B6_VCID_2_p20,B6_VCID_2_p30,B6_VCID_2_p40,B6_VCID_2_p50,B6_VCID_2_p60,B6_VCID_2_p70,B6_VCID_2_p80,B6_VCID_2_p90,B7_p0,B7_p10,B7_p100,B7_p20,B7_p30,B7_p40,B7_p50,B7_p60,B7_p70,B7_p80,B7_p90,DESA,EVI_p0,EVI_p10,EVI_p100,EVI_p20,EVI_p30,EVI_p40,EVI_p50,EVI_p60,EVI_p70,EVI_p80,EVI_p90,IDSP2010,ID_TIPEWIL,KAB,KABDES,KABKOT,KEC,KECAMATAN,KODE2010,NAMA,NDBI_p0,NDBI_p10,NDBI_p100,NDBI_p20,NDBI_p30,NDBI_p40,NDBI_p50,NDBI_p60,NDBI_p70,NDBI_p80,NDBI_p90,NDVI_p0,NDVI_p10,NDVI_p100,NDVI_p20,NDVI_p30,NDVI_p40,NDVI_p50,NDVI_p60,NDVI_p70,NDVI_p80,NDVI_p90,NDWI_p0,NDWI_p10,NDWI_p100,NDWI_p20,NDWI_p30,NDWI_p40,NDWI_p50,NDWI_p60,NDWI_p70,NDWI_p80,NDWI_p90,PRODES,PROP,PROVINSI
000055ba6ee96fccf386,17,19.84281614,90,21.36174794,21.36174794,22.75948678,22.75948678,24,25.39658059,26.89453794,28.85870928,10,16,102,17,18,18,19,20,21.31387278,21.31387278,24.75330566,5,9.395325914,97,9.395325914,9.395325914,10.8999078,10.8999078,11.84839044,13.37773448,13.37773448,17.74832125,4,26.51494574,141,45.5094302,57.41226807,65,70,73.49370802,78,82.47345216,89,0,9.059631862,131,18.06169783,21.49966138,24.49767739,27.05236752,28.50221758,31,33.43447256,38,180,192,202,193,193,194,195,195,195,195,196,0,4.499816778,124,6.638627333,6.638627333,8.467294299,8.467294299,8.467294299,9.917353373,11,12.39780806,1,-485,-13.86670084,490,-9.716168444,-5.645136646,-5.645136646,-2.027365324,-2.027365324,-2.027365324,-2.027365324,-2.027365324,3301710001,,1,3301000000,CILACAP,710,CILACAP SELATAN,3301710001,TAMBAKREJA,-1,-0.519025883,0.339449541,-0.488102256,-0.472503425,-0.45725093,-0.449287314,-0.441658161,-0.426172852,-0.402597781,-0.333127059,-0.578947368,0.362365564,0.859920058,0.558046736,0.644594559,0.691478742,0.715161989,0.738015118,0.753154045,0.769667357,0.785254574,-0.730666667,-0.64478929,0.724137931,-0.629269143,-0.606367126,-0.5897307,-0.574617585,-0.543241349,-0.49708767,-0.394273182,-0.199902018,3300000000,33,JAWA TENGAH
000074e172f160d1178d,18,21.37876722,46,21.37876722,21.37876722,22,23.50463075,23.50463075,25,26,28.22145443,11,17.7014628,45,19,19,20,20,21.21902555,21.21902555,23,25,5,10.45835935,46,10.45835935,10.45835935,12,13,13,14,16,19,6,36,131,46.37521004,55,62,69,76,82.53215483,91.60068798,102,0,12.34942437,58,17.44530768,20,22,24.40807692,25.77269902,27.35814811,30,33,186,191.6103863,199,194,195,195,195,195,196,196,196,0,4,41,5,6,7,7,8,9,10,12,2,-555,-19.60259824,515,-11.28973503,-3.201938829,-3.201938829,-3.201938829,-3.201938829,-3.201938829,-3.201938829,19.30981506,3301121002,,1,3301000000,CILACAP,121,KAMPUNGLAUT,3301121002,KLACES,-1,-0.589440784,0.191489362,-0.566557235,-0.550495966,-0.535462443,-0.519495527,-0.497731704,-0.472807818,-0.425890304,-0.348510463,-0.647058824,0.363889586,0.871428571,0.511773991,0.589304405,0.651967276,0.691148534,0.730419496,0.753330878,0.777362179,0.800589336,-0.730496454,-0.668146739,0.714285714,-0.636712479,-0.61372202,-0.5898894,-0.550348978,-0.506059889,-0.448804248,-0.387383152,-0.247654555,3300000000,33,JAWA TENGAH
00002abfd4215e1307e8,18,20,43,21,22,22,23,24,25,26,28.13511801,11,17,47,18.09417488,18.09417488,19,20,21.04126371,21.04126371,23,25,5,10,51,10,11.06291511,11.06291511,12.14246268,13,14,15,19,4,21.13981337,143,34.10637049,46.15448381,52,58,66,75,85,99,0,5.118493251,48,11,14.16457619,17,20.14112994,22.09640691,25,28,31,140,193,197,195.074934,195.074934,195.074934,195.074934,195.074934,196,196,196,0,2.166495002,23,4,5,6,6,7,8,9,10,3,-545,-11.31808141,550,-2.668194629,-2.668194629,-2.668194629,-2.668194629,-2.668194629,-2.668194629,-2.668194629,12.09602176,3301121003,,1,3301000000,CILACAP,121,KAMPUNGLAUT,3301121003,UJUNGALANG,-1,-0.619099324,-0.033333333,-0.57978261,-0.556137555,-0.53743043,-0.51766214,-0.499734897,-0.482277377,-0.458932416,-0.420000131,-0.5625,0.042515076,0.864661654,0.426095458,0.558205012,0.620822635,0.659914411,0.699423292,0.730361146,0.761686677,0.793040072,-0.731543624,-0.660864562,0.666666667,-0.621829008,-0.581955454,-0.55062323,-0.513123741,-0.472670605,-0.402320967,-0.262608467,0.065644731,3300000000,33,JAWA TENGAH
0000d8f5b898bba22119,18,22,42,24.16140952,25,26,26,27,27,28,29.11487841,11,18,40,19.20843815,21.15583542,21.15583542,22,23,24,24,26,6,11,36,13.17987141,13.17987141,14.18081411,15,16,17,18,20.12767667,4,12,113,29,38,44,49,54,59,65,72,0,5.185087243,61,9,12,14,17,21,26,31,37,140,193,198,194,194,195,195,195,195,196,196,0,2,39,3,4.139791224,5,6,8,10,12,14,1,-440,-5.529087361,405,-1.617257569,-1.617257569,-1.617257569,-1.617257569,-1.617257569,-1.617257569,-1.617257569,0.160150498,3301720001,,1,3301000000,CILACAP,720,CILACAP TENGAH,3301720001,KUTAWARU,-1,-0.613350248,0.009708738,-0.56646106,-0.527420631,-0.488459539,-0.449135328,-0.417837061,-0.379344168,-0.333316344,-0.277611648,-0.545454545,-0.160802986,0.823529412,0.301021026,0.41033184,0.472424858,0.526855261,0.565808538,0.597739398,0.636771849,0.683589166,-0.672413793,-0.550471925,0.652745056,-0.506010288,-0.472794957,-0.43432255,-0.394477801,-0.333333333,-0.270005039,-0.160230727,0.315295333,3300000000,33,JAWA TENGAH
000033335bc697e60311,19,24,75,26,27,28,29,29,30,31,34,12,19,82,21,23,24,24,25,26,27,30,7,13,93,15,17,17,19,20,22,24,28,6,13,108,20,28,35,40,45,50,58,67,2,6,124,10,14,19,24,29,34,38,44,186,193,204,194,195,195,196,197,197,198,199,0,3,124,5,7,9,12,14,16,20,26,2,-330,-5.500925946,265,-1.158089237,-1.158089237,-1.158089237,-1.158089237,-1.158089237,-1.158089237,-1.158089237,0.220591262,3301720002,,1,3301000000,CILACAP,720,CILACAP TENGAH,3301720002,LOMANIS,-0.714285714,-0.442490964,0.433526012,-0.394179001,-0.35563309,-0.323361785,-0.285398541,-0.247481109,-0.206843992,-0.152304929,-0.066233017,-0.363636364,-0.083762334,0.797979798,0.074342608,0.152636618,0.223324603,0.284772094,0.347149809,0.418056875,0.493374104,0.58183459,-0.672413793,-0.472803225,0.538461538,-0.394392121,-0.324069689,-0.270021254,-0.206873917,-0.12951389,-0.058728217,0.02676864,0.252474929,3300000000,33,JAWA TENGAH
0000c9db5b1e1a889b90,19,26,87,27,28,28,29,29,30.32943462,30.32943462,32,12,20.66217319,96,22,23,24,25,26,26,27,29,6,15,91,16,18,20,21,22.35889277,24.40289697,26.46991309,28.78260358,4,11,107,23,32,38.39703957,43,44.51788562,48,51.40183262,56,1,4,74,10,14,21,31,37,41.96714548,45.95539759,48.5660846,186,193,202,194,195,196,197,197,199.3555674,199.3555674,199.3555674,0,3,63,5,7,10,15,20,26.44951241,29.99878022,34,3,-160,-4.852187889,165,-2.819897026,-2.819897026,-0.832972142,-0.832972142,-0.832972142,-0.832972142,-0.832972142,0.151426624,3301720003,,1,3301000000,CILACAP,720,CILACAP TENGAH,3301720003,DONAN,-0.75,-0.466666667,0.243243243,-0.416202753,-0.368763425,-0.31476881,-0.244156655,-0.170344597,-0.083870391,-0.012383461,0.041260416,-0.428571429,-0.2,0.744680851,0.097626914,0.167694655,0.214586592,0.252870238,0.300669725,0.354670997,0.418717713,0.493168191,-0.622641509,-0.40922613,0.636363636,-0.355603999,-0.30707282,-0.269780992,-0.238093755,-0.183802228,-0.097951111,0,0.377972787,3300000000,33,JAWA TENGAH
0000cbaf9bb7083f03f2,22,26,90,28,28,29,30,30,31,32,34,19,23,102,24,25,26,26,27,28,29,30,12,17,93,19,20,22,24,25,27,28,31,11,33,112,41,43,46,49,52,56,62,68,4,24,88,31,36,40,43,45,48,51,54,186,195,201,196,197,197,198,199,199,199,200,2,12,54,15,18,20,23,27,31,34,38,4,-250,-6.882361454,245,-4.81516449,-2.85282988,-2.85282988,-1.052702741,-1.052702741,-1.052702741,-1.052702741,0.451705718,3301710004,,1,3301000000,CILACAP,710,CILACAP SELATAN,3301710004,CILACAP,-0.529411765,-0.295253102,0.279069767,-0.244473807,-0.204941996,-0.162427785,-0.119570805,-0.068175674,-0.010351582,0.033325345,0.091991986,-0.290322581,0.137040898,0.725490196,0.191374573,0.230460839,0.270090927,0.315511911,0.379871395,0.441771903,0.503306596,0.566169932,-0.6,-0.457692621,0.421052632,-0.40940039,-0.363152032,-0.324677817,-0.284938405,-0.255106058,-0.222906317,-0.183144049,-0.105669015,3300000000,33,JAWA TENGAH
000041a83417aea534b3,23,27,70,27,28,29,29,30,31,32,33,18,22,59,24,24,25,26,27,27,28,30,13,17,58,19,21,22,24,26,27,29,32,20,33,83,36,40,42,43,45,48,51,57,6,17,112,23,28,32,38,43,47,51,55,188,194,201,195,196,197,198,199,199,200,200,3,9,79,11,13,18,23,28,32,36,41,3,-300,-4.791583377,165,-2.769629619,-2.769629619,-0.958012397,-0.958012397,-0.958012397,-0.958012397,-0.958012397,1.055910952,3301710003,,1,3301000000,CILACAP,710,CILACAP SELATAN,3301710003,SIDAKAYA,-0.625,-0.392550486,0.252747253,-0.302269902,-0.236386125,-0.162242887,-0.091918344,-0.033229682,0.021494088,0.064353843,0.107454565,0.021276596,0.142857143,0.698924731,0.17346508,0.2,0.232059101,0.260406442,0.298699156,0.333333333,0.400324229,0.482303643,-0.568181818,-0.38963776,0.047619048,-0.324776259,-0.294738834,-0.263729432,-0.236566446,-0.217327765,-0.193892265,-0.165852072,-0.123487919,3300000000,33,JAWA TENGAH
00006f35871d5cf01a2e,23,28,38,28,29,30,30,30,31,32,32,18,24,37,25,26,26,27,27,28,29,30,15,23,36,24,25,26,27,28,29,30,31,20,40,63,42,43,44,45,46,47,49,50,16,38,65,41,44,45,47,49,50,53,55,196,199,202,199,199,199,200,200,200,200,200,9,24,51,27,29,31,33,34,36,38,41,2,-175,-6.905916259,140,-4.833168701,-2.792410706,-2.792410706,-2.792410706,-1.338742971,-1.338742971,-1.338742971,0.911812322,3301710002,,1,3301000000,CILACAP,710,CILACAP SELATAN,3301710002,TEGALREJO,-0.263157895,-0.090909091,0.2,-0.052450839,-0.022176456,0,0.022340926,0.043922644,0.063113748,0.087062051,0.111111111,0.078947368,0.157592243,0.561643836,0.182552452,0.2,0.217391304,0.235086588,0.260717228,0.285714286,0.315632806,0.364705882,-0.461538462,-0.333333333,-0.018181818,-0.304214399,-0.280136305,-0.264705882,-0.25,-0.232876712,-0.217489402,-0.2,-0.176470588,3300000000,33,JAWA TENGAH
00004d22eb06a86c17e4,20,26,51,28.48255902,28.48255902,28.48255902,29,30,31,32,33,13,22.77149732,50,24.40929261,24.40929261,26.43160657,26.43160657,26.43160657,28.27137733,28.27137733,30,7,18,51,20.36918458,22.37050124,22.37050124,24.36033564,26.38010247,26.38010247,28,30,9,28.32350422,91,35,40,42.41716031,45,46,48.3788458,51.67591691,57,5,13,94,20.27232208,28.35588471,36,41,44.39438739,46,48.45461033,52,177,194.6556403,201,196,197,197,198,199,199,199,200,3,7,83,10.56811772,16,20,24.4271319,28,31,34,37,4,-275,-4.841957576,140,-2.800364633,-2.800364633,-0.885826434,-0.885826434,-0.885826434,-0.885826434,-0.885826434,-0.885826434,3301720004,,1,3301000000,CILACAP,720,CILACAP TENGAH,3301720004,SIDANEGARA,-0.666666667,-0.392401939,0.215384615,-0.275847022,-0.2,-0.142857143,-0.092164768,-0.045197335,-0.010437316,0.029469308,0.068346472,-0.127272727,0.12604809,0.716981132,0.169891515,0.2,0.231911708,0.259973073,0.294844348,0.333333333,0.381124709,0.45512668,-0.607142857,-0.385460717,0.217391304,-0.333333333,-0.298309445,-0.271317273,-0.243561179,-0.21691697,-0.181935372,-0.134232334,-0.067891151,3300000000,33,JAWA TENGAH
